;Location;Title;Year
1;Golden Gate Bridge;Superman;1978
2;City Hall;Dawn of the Planet of the Apes;2014
3;Fairmont Hotel (950 Mason Street, Nob Hill);The Rock;1996
4;Treasure Island;Patch Adams;1998
5;Coit Tower;San Andreas;2015
6;Palace of Fine Arts (3301 Lyon Street);Forrest Gump;1994
7;Chinatown;Basic Instinct;1992
8;Bay Bridge;The Game;1997
9;Grace Cathedral Episcopal Church (1100 California Street);The Towering Inferno;1974
10;Hall of Justice (850 Bryant Street);Basic Instinct;1992
