;Location;Title;Year
1;Golden Gate Bridge;Superman;1978
2;City Hall;Tucker: The Man and His Dream;1988
3;Fairmont Hotel (950 Mason Street, Nob Hill);Shoot the Moon;1982
4;Treasure Island;Patch Adams;1998
5;Coit Tower;The Rock;1996
6;Palace of Fine Arts (3301 Lyon Street);Forrest Gump;1994
7;Chinatown;Romeo Must Die;2000
8;Postcard Row (Alamo Square, Hayes Valley);Fat Man and Little Boy;1989
9;Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin);A View to a Kill;1985
10;Telegraph Hill;Innerspace;1987
